翠	cheui3
丧	song1/song3
贓	jong1
胍	gu1/gwa1
醼	yin3
爺	ye4
班	baan1
歔	heui1
荪	syun1
卹	seut1
舳	juk6
帛	baak6
绡	siu1
囤	tyun4/deun6
眙	yi4
罨	yim2
须	seui1/sou1
鼇	ngou4
闡	chin2/jin2
骥	kei3
遥	yiu4
胊	keui4
輩	bui3
綣	hyun3
針	jam1
乂	ngaai6
崙	leun4
閣	gok3
铕	yau5
舢	saan1
溆	zeoi6
恓	sai1
渺	miu5
醣	tong4
樨	sai1
姐	je2
竿	gon1
温	wan1
阬	haang1
稽	kai1/kai2
愾	koi3
颦	pan4
衁	fong1
嫫	mou4
娓	mei5
鈴	ling4/ling1
欻	cha1/fat1
睒	sim2
蠖	wok6
尻	haau1
移	yi4
拆	chaak3
標	biu1
郚	ng4
茦	chaak3/jaak3
杈	cha1
潺	saan4
捋	lyut3
鈍	deun6
倦	gyun6
狁	wan5
稼	ga3
冊	chaak3
瀟	siu1
嗌	aai3
芎	gung1
绊	bun6
凶	hung1/hung1
儼	yim5
雱	pong4
呈	ching4
揥	jaai6
躑	jaak6
澜	laan4
瘵	jaai3
晒	saai3/saai3
嶁	lau5
泞	ning6
遫	chuk1
獰	ning4
敖	ngou4
谕	yu6
述	seut6
鼛	gou1
愬	sou3
勺	cheuk3/jeuk3
饿	ngo6
鲎	hau6
筆	bat1
鷞	song2
賛	jaan3
至	ji3
絮	seui6
車	che1/geui1
戔	jin1
斡	gun2/wat3
左	jo2
屈	wat1
揭	kit3
香	heung1
檍	yik1
杜	dou6
呴	heui1
杀	saat3
𡃁	leng1
恳	han2
铿	hang1
榃	taam4
鉿	hap6
縱	jung3
驒	to4
祛	keui1
帕	paak3
顰	pan4
伻	ping4
氳	wan1
咙	lung4
哓	hiu1
溝	gau1
庀	pei5
策	chaak3
苋	yin6
敁	dim1
絀	jeut3
蟀	seut1
諡	si3
膽	daam2
辒	wan1
闉	yan1
楗	kin2
壎	hyun1
吵	chaau2
焙	bui6
庫	fu3
拢	lung5
鎒	nau6
呠	pan3
妒	dou3
牧	muk6
紅	hung4
碞	ngaam4
隅	yu4
角	gok3
逾	yu4/yu6
礎	cho2
艺	ngai6
绉	jau3
郛	fu1
循	cheun4
浈	jing1
詛	jo3
办	baan6
遏	aat3
縈	ying4
债	jaai3
吾	ng4
陘	jing4
挫	cho3
峨	ngo4
饘	jin1
匈	hung1
跆	toi4
錤	gei1
嗮	saai3
撑	chaang1/chaang3
鸭	aap3/ngaap3
苟	gau2
巃	lung4
文	man4
礼	lai5
蓉	yung4
怿	yik6
滾	gwan2
岵	wu6
議	yi6/yi5
径	ging3
蕴	wan3
靴	heu1
獚	wong4
龅	baau1/baau6
蹙	chuk1
楘	muk6
鄧	dang6
沓	daap6
僄	piu3
頦	hoi4
膙	keung6
娅	a3
徯	hai4
怄	au3
掳	lou5
鍆	mun4
囉	lo1/lo3/lo4
误	ng6
腰	yiu1
鑲	seung1
铐	kaau3
藷	syu4/syu5
翩	pin1
敘	zeoi6
各	gok3
阉	yim1
圭	gwai1
罳	si1
腫	jung2
航	hong4
拉	laai1/la1
篝	gau1
游	yau4/yau4
筛	sai1
来	loi4
邾	jyu1
缃	seung1
裋	syu6
帥	seui3
刊	hon1/hon2
濃	nung4
轔	leun4
紩	jat6
娌	lei5
躝	laan4
氙	saan1/sin1
嶷	yi4
檢	gim2
愔	yam4
就	jau6
旄	mou4
崔	cheui1
俘	fu1
袭	jaap6
餸	sung3
譖	jam3
沘	bei2
蓷	teui1
炖	dan6/deun6/dan6/deun6
嶠	giu6/kiu4
宠	chung2
嵋	mei4
龉	yu5
淝	fei4
斷	tyun5/dyun6/dyun3
历	lik6/lik6
祎	yi1
侶	leui5
錯	cho3
蠶	chaam4
滗	bat1/bei3
璵	yu4
濮	buk6
垠	ngan4
蛰	jat6
洋	yeung4
夺	dyut6
艅	yu4
丌	gei1
聾	lung4
紂	jau6
洳	yu5/yu6
談	taam4
繨	daat6
郕	sing4
擠	jai1
烙	lok3
捆	kwan2
槧	chim3
鈞	gwan1
醓	taam1
笛	dek6
侃	hon2
蜇	jit3
鯸	hau4
伴	bun6/pun5
枳	jat1/ji2
蓋	goi3/koi3
聘	ping3
葸	saai2
浸	jam3
彖	teun5
痁	dim3
问	man6
滃	yung2
痐	wui4
周	jau1/jau1
徨	wong4
自	ji6
续	juk6
鍇	kaai2
迥	gwing2
譾	jin2
禀	ban2
鯪	ling4
攤	taan1
跼	guk6
匋	tou4
梭	so1
搏	bok3
沾	jim1/jim1
鉚	maau5
瀲	lim6
眾	jung3
漢	hon3
鸞	lyun4
剡	sim6/yim5
出	cheut1
繸	seui6
扛	gong1/kong1
僤	daan1
鷽	hok6
朽	nau2/yau2
劓	yi6
閤	gap3/hap6
剺	lei4
縑	gim1
辎	ji1
奡	ngou6
閡	hat6
效	haau6/haau6
庤	ji6
尸	si1/si1
