谰	laan4
贇	wan1
閶	cheung1
郟	gaap3
寢	cham2
陴	pei4
镨	pou2
埚	wo1
餌	nei6
鍔	ngok6
絪	yan1
蒱	po4
瓦	nga5
腍	nam4/nam6
佞	ning6
屭	ai3
惙	jyut3
隗	ngai5/wai4
竁	cheui3
搠	sok3
鮓	ja2
裘	kau4
菏	ho4/go1
鴃	kyut3
途	tou4
蕝	jyut3
嗳	oi2
韶	siu4
朦	mung4
夏	ha6
溘	hap6
踱	dok6
應	ying1/ying3
雜	jaap6/jaap3
訶	ho1
褌	gwan1
願	yun6
啁	jau1
钶	o1
懇	han2
簧	wong4
燉	dan6/deun6
臣	san4
棻	fan1
跻	jai1
觖	kyut3
冉	yim5
顒	yung4
銜	haam4
岸	ngon6
舸	go2/ho2
记	gei3
變	bin3
鱮	zeoi6
倆	leung5
畔	bun6
殓	lim6
鐃	naau4
鈁	fong1
谍	dip6
闍	se6
镂	lau6
案	on3/ngon3
鬁	lei1/lei6
執	jap1
頖	pun3
風	fung1
鬠	kut3/jang3
低	dai1
缅	min5
傕	gok3
皿	ming5
螈	yun4
氽	tan2/tan2
繕	sin6
使	sai2/si2/si3
嗷	ngou1
餂	tim5
錔	daap6
榷	kok3
飛	fei1
填	tin4
杇	wu1
葽	yiu1
漙	tyun4
枒	nga4
趼	gin2/yin4
缽	but3
硝	siu1
灉	yung1
餻	gou1
闃	gwik1
逸	yat6
竭	git3
田	tin4
活	wut6
苹	ping4/pan4/ping4
缋	kui2
轅	yun4
埘	si4
袼	gok3
啧	jaak3/jik1
夬	gwaai2
沐	muk6
鑑	gaam3
巔	din1
誅	jyu1
稃	fau4/fu1
膿	nung4
嵎	yu4
軍	gwan1
惬	hip3
颿	faan4
声	seng1/sing1
鲚	chai5
蚝	hou4/hou4
鄐	chuk1
瞑	ming4
饬	chik1
憊	baai6/bei6
蹀	dip6
砲	paau3/baau3/paau4
楂	ja1
髖	fun1
刲	gwai1
綢	chau4
搌	jin2
卯	maau5
屺	gei2/hei2
覷	cheui3
饮	yam2
垗	jiu6
臝	lo2
臆	yik1
蕹	yung1/ung3
铊	ta1/to4
闼	taat3
谛	dai3
觫	chuk1
掊	pau4
敗	baai6
踤	chyut3
麇	gwan1/kwan4
慚	chaam4
芼	mou4
诱	yau5
瘭	biu1
嵫	ji1
閾	wik6
佾	yat6
遍	pin3
骧	seung1
衷	chung1/jung1
縏	pun4
蓯	chung1
鱸	lou4
祏	sik6
佯	yeui4
豜	gin1
閌	kong3
谫	jin2
涝	lou6
叔	suk1
餟	jyut3
桤	kei1
郭	gwok3
膷	heung1
勅	chik1
歈	yu4
沌	deun6
擸	laap3
紟	kam1
禄	luk6
餜	gwo2
褻	sit3
鍵	gin6
賀	ho6
针	jam1
輬	leung4
蝎	hit3/hit3
錫	sek3/sik1
洨	ngaau4
骐	kei4
碍	ngoi6
谩	maan4/maan6
舜	seun3
襜	jim1/lim5
蠱	gu2
惩	ching4
柟	naam4
哎	aai1
魨	tyun4
陷	haam6
溪	kai1
紃	cheun4
蓪	tung1
薧	haau2
蹐	jik3
尨	mong4/mung4/pong4
苾	bat6
癒	yu6
扑	pok3/bok1
捭	baai2
翃	wang4
悒	yap1
磡	ham3
夼	kwaang2/kwong3
梅	mui4
蚤	jou2
猗	yi1
殂	chou4
藁	gou2
瑋	wai4
儆	ging2
隒	yim2
燜	mun6
楷	gaai1/kaai2
笤	tiu4
薀	wan1
鞦	chau1
鷭	faan1
蒡	bong2
萌	mang4
蝯	yun4
夤	yan4
珠	jyu1
箱	seung1
鲸	king4
屦	geui3
婤	jau1
萆	bei1
潲	sau3
荚	gaap3
掸	daan6/sin6
麓	luk1
鉄	tit3
厴	yim3
蕉	jiu1
崍	loi4
茎	hang4
獉	jeun1
陳	chan4
閒	haan4
笔	bat1
滫	sau2
滕	tang4
联	lyun4
樵	chiu4
啉	lam1
紇	gat1
蠙	ban1
搾	ja3
槔	gou1
缥	piu5
檗	baak3
牼	hang1
剸	jyun1
髯	yim4
予	yu5/yu4
隐	yan2
摷	jiu6/chaau3
酾	si1
武	mou5
縿	saam1
睿	yeui6
嗶	bat1
甩	lat1
嘏	ga2/gu2
华	wa4
镧	laan4
墅	seui5
跎	to4
髲	bei6
撿	gim2
彎	waan1
饱	baau2
渍	ji3
龛	ham1
齶	ngok6
美	mei5
辑	chap1
满	mun5
椳	wui1
凵	ham1
规	kwai1
鹥	yi1
簉	jou6
溷	wan6
妈	ma1
夫	fu1/fu1
镡	taam4
泷	lung4
汉	hon3
胙	jou6
銕	tit3
黔	kim4
锆	gou3
樧	saat3
许	heui2
偫	doi6
膲	jiu1
拳	kyun4
盡	jeun6
捷	jit6
裔	yeui6
返	faan1/faan2
朗	long5
祈	kei4
怗	tip3
由	yau4
挾	hip6/gaap3/gip6/haap6/hip6
苙	lap1
霨	wai3
續	juk6
唧	jik1
釧	chyun3
袟	dit6
怎	jam2
譔	jaan6
堨	aat3
荈	chyun2
侀	ying4
謾	maan4/maan6
譊	naau4
瞽	gu2
羣	kwan4
拼	ping3/ping1
殴	au2
嘵	hiu1
咥	jat6/hei3
绶	sau6
籓	bun1
龑	yim5
诡	gwai2
俓	ging3
奼	cha3
燃	yin6
挪	no4/no1
县	yun6/yun2
唯	wai4/wai2
柜	geui2/gwai6
鬋	jin1
诬	mou4
積	jik1
栻	chik1
胃	wai6
霄	siu1
桮	bui1
饔	yung1
偽	ngai6
薛	sit3
囫	fat1
椑	bei1
厝	chou3
埶	jap1
兢	ging1
寅	yan4
撾	wo1/gwo1/ja1
滚	gwan2
聚	zeoi6
坎	ham2
犊	duk6
菌	kwan2
眨	jaap3/jaam2
蝌	fo1
浍	kui2
幣	bai6
薦	jin3
谆	jeun1
臐	fan1
尹	wan5
糶	tiu3
唛	mak1
锵	cheung1
贰	yi6
底	dai2
壼	kwan2
辯	bin6
曈	tung4
帖	tip3
娈	lyun5
旮	go1
当	dong1/dong3
哦	ngo4/o4/o6
殷	yan1/yin1
詣	ngai6
吉	gat1
襯	chan3
膨	paang4
跳	tiu3
产	chaan2
枸	gau2/geui2
邘	yu4
圣	sing3
陰	yam1
孺	yu4
尺	chek3
禛	jan1
埗	bou4
捱	ngaai4
疥	gaai3
犖	lok3
哤	mong4
譚	taam4
蔷	cheung4
讀	duk6
仨	saam1
縲	leui4
黽	man5
蕻	hung4/hung6
珧	yiu4
侯	hau4/hau6
鞃	wang4
竹	juk1
届	gaai3
被	bei6
壯	jong3
焓	ham4
饒	yiu4
待	doi6
弝	ba3
午	ng5
呿	keui1
烩	wui6
靪	ding1
膝	sat1
縕	wan3
砒	pei1
巖	ngaam4
鹳	gun3
綃	siu1
制	jai3/jai3
谡	suk1
嘂	giu3
峇	hap6
瘃	juk1
儳	chaam3
焮	yan3
鎛	bok3
谟	mou4
鰼	jaap6
妹	mui6
渴	hot3
糸	mik6
茁	jyut3
霽	jai3
腳	geuk3
繢	kui2
刜	fat1
蜞	kei4
誘	yau5
闤	waan4
宸	san4
桄	gwong1
缢	ai3
紲	sit3
凯	hoi2
姦	gaan1
眴	seun1/yun6
爵	jeuk3
稊	tai4
諒	leung6
靥	yip6
騤	kwai4
絶	zyut6
瀼	yeung4
群	kwan4
約	yeuk3
烽	fung1
激	gik1
胖	bun6
锻	dyun3
誄	loi6
苡	yi5
詁	gu2
茢	lit6
铩	saat3
斧	fu2
哭	huk1
瘌	laat3
冁	chin2
腶	dyun3
疚	gau3
窳	yu5
幸	hang6/hang6
榤	git6
菲	fei1/fei2
豬	jyu1
膋	liu4
誆	hong1
鮑	baau6/baau1
烘	hung1
漳	jeung1
服	fuk6
吃	hek3
豷	ai3
该	goi1
襢	taan2
赉	loi6
扞	hon6
织	jik1
疧	kei4
弧	wu4
屑	sit3
慪	au3
姻	yan1
悯	man5
嘆	taan3
音	yam1
围	wai4
沒	mut6
穨	teui4
陈	chan4
咿	yi1
潭	taam4
厓	ngaai4
輸	syu1
烴	ting1
敏	man5
肭	nat6
海	hoi2
昫	heui2
莸	yau4
埋	maai4
艤	ngai5
赭	je2
協	hip6
焕	wun6
戢	chap1
祊	bang1
嶓	bo1
矧	chan2
罪	zeoi6
芽	nga4
架	ga3/ga2
都	dou1
宽	fun1
儱	lung5
圳	jan3
蠼	fok3
咛	ning4
攖	ying1
吕	leui5
閎	wang4
噼	pet1
懆	cho3
佹	gwai2
勻	wan4
滙	wui6
燿	yiu6
缣	gim1
磚	jyun1
耵	ding2/ting1
贄	ji3
卢	lou4
攢	chyun4/jaan2
沕	mat6/mei6
唳	leui6
嗯	ng2
衩	cha3
揍	jau3
寔	sat6
漫	maan6
貓	maau1
潁	wing6
嫲	ma4
飂	liu4
箴	jam1
世	sai3
綴	zeoi3/jyut3
韩	hon4
隽	jeun3/syun5
单	daan1
建	gin3
瀚	hon6
驩	fun1
曚	mung4
氌	lou5
壅	yung1/yung2
騢	ha4
彘	ji6
著	jyu3
嚚	ngan4
獀	sau2
沭	seut6
險	him2
獗	kyut3
溠	ja3
妪	yu2
烝	jing1
種	jung2/jung3
攫	fok3
酖	daam1/jam6
茑	niu5
啦	la1/la3
筋	gan1
妄	mong5
抆	man5
俾	bei2
僚	liu4
蓠	lei4
宣	syun1
狲	syun1
嘜	mak1
嬸	sam2
漣	lin4
砠	jo2
絲	si1
鏸	wai6
甍	mang4
鬪	dau3
裳	seung4
煸	bin1
线	sin3
參	chaam1/sam1
姺	sin2
症	jing3/jing1
醆	jaan1
囈	ngai6
图	tou4
鄩	cham4
位	wai6/wai2
瘐	yu5
佶	gat1
硾	zeoi6
大	daai6
卸	se3
閹	yim1
轳	lou4
菡	aam2/haam5
漷	kwok3
鯫	jau1
契	kai3/kit3
謎	mai4/mai6
糁	saam2
梃	ting5
植	jik6
几	gei2/gei1
屋	uk1/nguk1
蠔	hou4
燒	siu1
沫	mut3
術	seut6
已	yi5
鰍	chau1
度	dou6/dok6
脈	mak6
彫	diu1
俠	haap6/hap6
渤	but6
葡	pou4
鰻	maan4
亦	yik6
蠣	lai6
廛	chin4
苗	miu4
籌	chau2/chau4
愐	min5
猖	cheung1
芝	ji1
隘	aai3
餛	wan4
答	daap3
郰	jau1
債	jaai3
缨	ying1
廂	seung1
闾	leui4
柝	tok3
颅	lou4
檉	ching1
花	fa1
屍	si1
馐	sau1
極	gik6
譯	yik6
駭	haai5/hoi4
襞	pik1
騣	jung1
緄	gwan2
睬	choi2
垕	hau5
狯	kui2
湿	sap1
胴	dung6
暘	yeung4
蛞	fut3/kut3
歠	jyut3
騮	lau4
惇	deun1
溉	koi3
鄑	ji1
啊	a3/a1/a2
毚	chaam4
侨	kiu4
桔	aat1/gat1
驥	kei3
歲	seui3
徑	ging3
京	ging1
衚	wu4
鷂	yiu6
慣	gwaan3
煬	yeung4
啕	tou4/tou4
骗	pin3
扬	yeung4
峰	fung1
嶺	leng5/ling5
廡	mou4/mou5
匽	yin2
弇	yim2
槍	cheung1
鏤	lau6
鹾	cho4
魏	ngai6
個	go3
壒	oi2
垔	yan1
冒	mou6/mak6
瀛	ying4
鍺	je2
顽	wan4
霁	jai3
黛	doi6
桀	git6
黐	chi1
樲	yi6
黶	yim2
飪	yam6
瘊	hau4
晢	jai3
澍	syu6
缬	kit3/lit3
齡	ling4
蜺	ngai4
昆	kwan1/gwan1
凸	dat6
璋	jeung1
戾	leui6
蠟	laap6
领	ling5/leng5
級	kap1
鷾	yi3
莓	mui4
裹	gwo2
糨	geung6
辉	fai1
歐	au1/ngau1
炉	lou4
枢	syu1
润	yeun6
蹜	suk1
縝	jan2
鹄	guk1/huk1
襋	gik1
儐	ban3
箍	ku1
摰	ji3
烤	haau2
銤	mai5
洏	yi4
甸	din6
咂	jaap3
地	dei6
漩	syun4
箑	jit6/sap3
矽	jik6
永	wing5
蝦	ha1
虮	gei2
鮀	to4
摄	nip6/sip3
講	gong2
烟	yin1
判	pun3
媞	tai4
溲	sau1
辖	hat6
胏	ji2
籐	tang4
允	wan5
綿	min4
车	che1/geui1
稿	gou2
溈	gwai1
諷	fung3
迟	chi4
創	chong3
聃	daam1
飞	fei1
漂	piu1/piu3
鳳	fung6
日	yat6
怡	yi4
許	heui2
觀	gun1/gun3
暉	fai1
仝	tung4
臊	sou1/sou3
鰹	gin1
製	jai3
弨	chiu1
谘	ji1
逶	wai1
跗	fu1
鸂	kai1
淜	paang4
堊	ok3
版	baan2
檖	seui6
褡	daap3
薢	gaai1
豸	jaai6/ji6
锾	waan4
硭	mong4
溅	jin1/jin3
弊	bai6
淠	pei3
鳎	taap3/taat3
喁	yung4
卻	keuk3
褎	jau6
疼	tang4
攙	chaam1/chaam4
淦	gam3
掣	jai3/chit3
磲	keui4
鐠	pou2
超	chiu1
部	bou6
耽	daam1
腆	tin2
嬃	seui1
穭	leui5
蓓	pui5
恥	chi2
牿	guk1
葵	kwai4
皓	hou6
鬎	laat6
褒	bou1
赈	jan3
嗣	ji6
澣	wun2/wun5
顏	ngaan4
綁	bong2
体	tai2
放	fong3
昊	hou6
绩	jik1
颜	ngaan4
闐	tin4
扣	kau3/kau3
聩	kui2
隧	seui6
閧	hung6
梿	lin4
亮	leung6
倭	wo1
樏	lai5
儤	bou3
夆	fung1
峭	chiu3
蹋	daap6
旰	gon3/hon6
股	gu2
鹤	hok6
伍	ng5
咢	ngok6
鲽	dip6
櫞	yun4
确	kok3/kok3
洫	gwik1
鳩	gau1/kau2
鍫	chiu4
蚩	chi1
髕	ban3
蒼	chong1
唸	nim6
符	fu4
碉	diu1
譸	jau1
踦	hei2/yi2
訥	nat6/neut6
母	mou5
襄	seung1
囌	sou1
揉	yau4
犯	faan6
臃	yung2
份	fan6
仆	puk1/fu6/buk6
蔀	bou6
对	deui3
猺	yiu4
鯗	seung2
恺	hoi2
佤	nga5
煆	dyun6
烛	juk1
漵	zeoi6
咔	ka1
婶	sam2
紑	fau4
殄	chan2/tin5
觇	jim1
骴	chi3
栌	lou4
鋂	mui4
澠	man5/sing4
結	git3
蹻	hiu1
篋	haap6
翼	yik6
长	cheung4/jeung2
樘	tong4
毡	jin1
趄	zeoi1
连	lin4
茖	gok3
麗	lai6
蚰	yau4
钬	fo2
稀	hei1
煉	lin6
疿	fai2/fei2
邊	bin1
辟	pik1/bik1/pik1
槌	cheui4
鄠	wu6
獷	gwong2
哉	joi1
芗	heung1
初	cho1
玷	dim3
樂	lok6/ngok6
唤	wun6/fun3
鄋	sau2
腽	wat1
撼	ham6
喘	chyun2
雉	ji5
龌	aak1
喤	wong4
芦	lou4
業	yip6
搡	song2
崮	gu3
道	dou6
荣	wing4
寨	jaai6/jai6
友	yau5
紬	chau1/chau4
兕	ji6
偶	ngau5
篁	wong4
虍	fu2
盍	hap6
勢	sai3
岗	gong1
鎉	taap3
猁	lei6
咷	tou4
珙	gung2
蹡	cheung1
瑲	cheung1
騶	jau1
偩	fu6
嚷	yeung5
钜	geui6
柒	chat1
旺	wong6
豇	gong1
胯	kwa3
柺	gwaai2
亙	gang2
驾	ga3
爆	baau3
空	hung1
说	syut3
赧	naan5
谎	fong1/fong2
瞋	chan1
若	yeuk6
鮚	git3
捅	tong2
蕢	gwai6
菻	lam1/lam4
頎	kei4
簇	chuk1
燁	yip6
掠	leuk6
颚	ngok6
汜	chi5
偕	gaai1
濊	wai3
舠	dou1
纔	choi4
駾	deui6
青	ching1/cheng1
疯	fung1
蘗	yit6
愉	yu4
嬿	yin3
鋦	guk1
湛	jaam3
逼	bik1
桜	ying1
蝡	yu4
鏽	sau3
颸	si1
碩	sek6
卺	gan2
朿	chi3
准	jeun2/jeun2
蹄	tai4
飥	tok3
委	wai2/wai1
妤	yu4
灄	sip3
菉	luk6
幙	mok6
尚	seung6
曀	ai3
緰	syu1
昴	maau5
酯	ji2
叱	chik1
渙	wun6
岌	kap1
塑	sou3
酸	syun1
穡	sik1
傎	din1
嫈	ying1
芰	gei6
婷	ting4
斓	laan4
瀘	lou4
此	chi2
旦	daan3
讜	dong2
断	tyun5/dyun6/dyun3
厮	si1
厭	yim3
啵	bo1
卅	sa1
溺	nik6/niu6
鏝	maan6
葉	yip6
玄	yun4
韫	wan3
瞒	mun4
浇	giu1/hiu1
脰	dau6
女	neui5
栩	heui2
馨	hing1
嚲	do2
簟	tim5
單	daan1
晌	heung2
掱	pa4
謁	yit3
妆	jong1
旭	yuk1
閏	yeun6
恔	haau6
搧	sin3
魍	mong5
騁	ching2
釋	sik1
湼	nip6
繻	seui1
嗥	hou4
独	duk6
萊	loi4
黨	dong2
饁	yip3
語	yu5
诸	jyu1
惆	chau4
踡	kyun4
狷	gyun3
淯	yuk6
橇	hiu1
露	lou6/lau6
鉬	muk6
绪	seui5
氝	noi6
砻	lung4
撲	pok3
頇	hon1
识	sik1
颈	geng2
寒	hon4
鹅	ngo4
搔	sou1
惲	wan6
淡	daam6/taam5
裌	gaap3
量	leung4/leung6
奢	che1/se1
嘛	ma4
中	jung1/jung3
羅	lo4
靡	mei5
影	ying2
丐	koi3
憑	pang4
辄	jip3
暴	bou6
淤	yu1/yu2
餾	lau6
灵	ling4
亹	mei5/mun4
竇	dau3
梳	so1
骛	mou6
摮	ngou4
痲	ma4
熨	tong3/wan6/wai3/wat1
餑	but6
貘	mak6
劂	kyut3
诠	chyun4
崃	loi4
八	baat3
餩	ak1
波	bo1
爸	ba1
悱	fei2
坳	aau1/aau3
運	wan6
塼	jyun1
搯	tou4
娘	neung4/neung4
朕	jam6
侮	mou5
壙	kwong3
崽	joi2
罟	gu2
醛	chyun4
痰	taam4
吭	haang1/hong4
桹	long4
脔	lyun5
謊	fong1/fong2
钇	yut6
偁	ching1
髽	ja1
狙	zeoi1
封	fung1
爊	ngou4
拽	jai6
见	gin3
葦	wai5
優	yau1
胫	ging3/hing5
麌	yu5
蜍	cheui4/chyu4
絻	man5
牂	jong1
酤	gu1
歿	mut6
楬	kit3
紝	yam6
秩	dit6
禰	nei4
窩	wo1
凡	faan4
挑	tiu1
悰	jung1
凰	wong4
讪	saan3
笋	seun2
醹	yu4
鱭	chai5
弒	si3
绐	doi6
虆	leui4
熔	yung4
榖	guk1
觐	gan2/gan6
翻	faan1
頌	jung6
颐	yi4
靮	dik1
刻	hak1/haak1
笱	gau2
撚	nan2/nin2
嫜	jeung1
猡	lo4
爬	pa4
湓	pun4
惋	yun2/wun2
槥	seui6
瀁	yeung6
购	gau3
鲩	waan5
猕	lei4/mei4
昉	fong2
馘	gwik1
礤	chaat3
責	jaak3
貅	yau1
藘	leui4
趯	tik1
嚬	pan4
襭	git3
瓴	ling4
鸑	ngok6
樓	lau4
嬷	ma1
呂	leui5
坊	fong1
盅	jung1
閽	fan1
姒	chi5
笰	fat1
鼷	hai4
讋	jip3
謇	gin2
憒	kui2
斥	chik1
颇	po2/po1
镘	maan6
腠	chau3
蓖	bei6
薇	mei4
薬	yeuk3
麵	min6
牛	ngau4
勝	sing3/sing1
鼾	hon4/hon6
隊	deui6
媿	kwai3
勋	fan1/fan1
河	ho4
殙	fan1
蜣	geung1
瘞	yi3
艱	gaan1
撝	fai1
刮	gwaat3/gwaat3
繒	jang1
核	hat6/wat6/hat6
屏	ping4
全	chyun4
驸	fu6
乘	sing4/sing6
累	leui4/leui6
噙	kam4
嗨	hoi1
保	bou2
庸	yung4
樟	jeung1
汔	ngat6
仍	ying4
壶	wu4
纷	fan1
舍	se2/se2/se3
蝴	wu4
碟	dip6
蛔	wui4
嚌	chai6/jai6
槱	yau5
齕	hat6
籛	jin1
蔞	lau4
漆	chat1
汋	jeuk3/seuk3
气	hei3
笑	siu3
或	waak6
祥	cheung4
砢	lo2
雇	gu3/gu3
猃	him2
獪	kui2
玑	gei1
棂	ling4/ling4
樗	syu1
艎	wong4
矙	ham3
肕	ngan6/yan6
傯	jung2
羭	yu4
鹿	luk6
蛐	kuk1
郳	ngai4
黷	duk6
嗔	chan1
骚	sou1
蔑	mit6
嗅	chau3
赶	gon2
顢	mun4
摜	gwaan3
冘	yam4
玉	yuk6
扔	wing4/ying4
拍	paak3
慼	chik1
鲍	baau6/baau1
玔	chyun3
埜	ye5
鈄	dau2
獲	wok6
究	gau3
龐	pong4
僦	jau6
央	yeung1
璿	syun4
瞼	gim2
迫	baak1
牙	nga4
綜	jung3
理	lei5
虛	heui1
蘸	jaam3
栗	leut6/leut6
佢	keui5
課	fo3
孽	yit6
哝	nung4
龀	chan3
阈	wik6
男	naam4
讙	fun1
市	si5
降	gong3/hong4
驱	keui1
繆	miu6/mau4/mau6
枥	lik1
衲	naap6
房	fong4/fong2
攪	gaau2
轂	guk1
鵓	but6
送	sung3
描	miu4
籚	lou4
侷	guk6
拣	gaan2
媮	tau1
骟	sin3
彙	wui6/wai6
緅	jau1
仲	jung6
迺	naai5
頸	geng2
覈	hat6
關	gwaan1
徐	cheui4
本	bun2
魅	mei6
蘑	mo4
镏	lau4/lau5
澶	sin4
篩	sai1
侔	mau4
噌	jang1
埃	oi1
揚	yeung4
誑	gwong2
畏	wai3
憲	hin3
薨	gwang1
椎	cheui4/zeoi1
鈤	yat6
跏	ga1
收	sau1
睨	ngai6
吟	yam4
舶	baak3/bok6
圻	kei4/ngan4
績	jik1
吗	ma3
咧	le2/le4
犍	gin1
狻	syun1
偟	wong4
冻	dung3
冲	chung1/chung1
滓	ji2
躺	tong2
堵	dou2
讶	nga6
酲	ching4
樕	sok3
篪	chi4
凋	diu1
鲈	lou4
帏	wai4
畋	tin4
尉	wai3/wat1
嗐	haai6
霝	ling4
靂	lik1/lik6
囒	laan1
试	si3
蟥	wong4
蜨	dip6
迩	yi5
枋	fong1
躐	lip6
鋃	long4
磔	jaak6
辕	yun4
憷	cho2
某	mau5
鎖	so2
阤	to4
穴	yut6
渭	wai6
检	gim2
妖	yiu1
錸	loi4
屢	leui5
焊	hon6/hon6
止	ji2
檜	kui2
律	leut6
颧	kyun4
馗	kwai4
蒯	gwaai2
坭	nai4
谴	hin2
坼	chaak3
迹	jik1
姥	lou5/mou5
叉	cha1
綈	tai4
砍	ham2
先	sin1
抨	ping1
礁	jiu1
状	jong6
镍	nip1
储	chyu5
臲	nit6/yit6
衡	hang4
茲	ji1
喾	guk1
甑	jang6
蝍	jik1
售	sau6
壔	dou2
淵	yun1
問	man6
苣	geui6
骤	jaau6/jau6
苷	gam1
癥	jing1
鷄	gai1
谱	pou2
羆	bei1
啐	cheui3
盃	bui1
鰆	cheun1
讲	gong2
恿	yung2
荥	ying4
申	san1
坍	taan1
滲	sam3
毛	mou4
蚊	man1
龋	geui2
涑	chuk1
纣	jau6
疋	pat1
发	faat3/faat3
縣	yun6/yun2
琐	so2
真	jan1
癃	lung4
鐳	leui4
鯀	gwan2
瑟	sat1
覜	tiu6
箫	siu1
鉏	cho4
咯	gaak3/lo1/lok3/gok3
荐	jin3
镈	bok3
咦	yi4
勵	lai6
寧	ning4
潍	wai4
準	jeun2
酢	chou3/ja3/jok6
没	mut6
剩	jing6/sing6
枲	saai2/sai2
烁	seuk3
淚	leui6
邑	yap1
肜	yung4
躊	chau4
滏	fu2
躋	jai1
篔	wan4
囟	seun3
祔	fu6
唁	yin6
愁	sau4
傜	yiu4
最	zeoi3
孫	syun1
紽	to4
港	gong2
檻	haam5/laam6
闶	kong3
勸	hyun3
難	naan6/naan4
坻	chi4/dai2
吊	diu3/diu3
造	jou6
将	jeung1/jeung3
膈	gaak3
輠	gwo2
添	tim1
仳	pei2
唆	so1
歇	hit3
媼	ou2/wan2
防	fong4
閆	yim4
琯	gun2
籴	dek3/dek6
胗	jan1
掩	yim2/am2
誒	aai2/ei6/oi1
艽	kau4
瑕	ha4
创	chong3
慈	chi4
劻	hong1
廓	kwok3/gwok3
涿	deuk3
笥	ji6
炅	gwai6/gwing2
慢	maan6
稗	baai6
雒	lok3
墳	fan4
鐶	waan4
悃	kwan2
腋	yik6/yat6/yit6
飓	geui6
奧	ou3
輕	hing1/heng1
鳍	kei4
慉	juk6
嗇	sik1
刹	saat3/chaat3
軹	ji2
罢	ba6
模	mou4
镉	gaak3
还	waan4
溃	kui2
臚	lou4
燾	dou6/tou4
蟛	paang4
镪	keung5
薔	cheung4
壞	waai6
駒	keui1
氷	bing1
懍	lam5
倒	dou2/dou3
傣	daai2
寸	chyun3
祖	jou2
蠰	yeung4
圄	yu5
纲	gong1
雝	yung1
掇	jyut3
挂	gwa3
查	cha4
亨	hang1
柬	gaan2
筘	kau3
經	ging1
時	si4
狴	bai6
土	tou2
国	gwok3
楯	teun5
靸	saap3
芮	yeui6
攸	yau4
脩	sau1
藇	zeoi6
嘎	ga1/ga4
菰	gu1
悖	bui6
天	tin1
信	seun3
因	yan1
缎	dyun6
玥	yut6
俩	leung5
瓣	faan6/faan2
鑾	lyun4
𢭃	dau6
恁	yam6
葹	si1
褸	leui5
睆	wun2
醯	hei1
闱	wai4
廎	king2
敪	jyut3
斨	cheung1
跛	bai1/bo2
汤	tong1
烦	faan4
苓	ling4
筥	geui2
膻	jin1
乳	yu5
黯	am2
候	hau6
俔	yin5
鲋	fu6
椏	nga4
渎	duk6
鋆	wan4
纹	man4
杞	gei2
睯	mau6
櫳	lung4
殇	seung1
珏	gok3
椽	chyun4
爛	laan6
鞶	pun4
詅	ling4
殺	saat3
鰈	dip6
慁	wan6
蒐	sau1
瓞	dit6
谦	him1
茕	king4
蕕	yau4
漘	seun4
峯	fung1
幼	yau3
掤	maang1/mang1/mang3
復	fuk6/fuk1/fau6
搣	mit1
菊	guk1
鯉	lei5
玟	man4
丳	chaan2
蚳	chi4
櫃	gwai6
佇	chyu5
协	hip6
癱	taan1
蝥	maau4
裱	biu2
繳	giu2
骸	haai4/hoi4
胔	ji3
朴	pok3/piu4/pok3
嫚	maan6
伸	san1
檔	dong2/dong3
晰	sik1
康	hong1
鄺	kwong3
濒	pan4/ban1
芚	tyun4
嫽	liu4
晋	jeun3
躓	ji3
鏐	lau4
酐	gon1
窸	sik1
閨	gwai1
跃	yeuk6/yeuk3/tik1
凊	jing6
鄰	leun4
佽	chi3
痼	gu3
琭	luk6
娲	wo1
毆	au2
琇	sau3
賴	laai6
诵	jung6
嫂	sou2
湊	chau3
脏	jong6/jong1
輿	yu4
馋	chaam4
备	bei6
誦	jung6
暨	kei3
鴟	chi1
些	se1
跅	tok3
塊	faai3
緲	miu5
瘖	yam1
異	yi6
鋒	fung1
洮	tou4
罥	gyun3
鹂	lei4
凈	jeng6/jing6
潰	kui2
无	mou4
秦	cheun4
鄾	yau1
怃	mou5
壆	bok3
搨	taap3
離	lei4
障	jeung3
峪	yu6/yuk6
爨	chyun3
炊	cheui1
帨	seui3
癯	keui4
鰩	yiu4
珓	gaau3
譽	yu6
厩	gau3
禾	wo4
够	gau3
忸	nau2/nuk6
鐏	jyun3
舔	tim2
柴	chaai4
癮	yan5
兌	deui3
築	juk1
箛	gu1
兀	ngat6
狹	haap6/gip6
绾	waan2
彥	yin6
浅	chin2
櫪	lik1
誾	ngan4
梧	ng4
摴	syu1
煦	yu3
钡	bui3
煇	fai1
接	jip3
钰	yuk6
僨	fan5
嚇	haak3
酃	ling4
熇	haau2
軀	keui1
萧	siu1
睢	seui1
拚	ping1/pun3
舰	laam6
歆	yam1
鹫	jau6
喙	fui3
祼	gun3
沣	fung1
秉	bing2
郸	daan1
滂	pong4
鬅	lang6/pang4
鳓	lak6
謚	si3
嫖	piu4
巢	chaau4
師	si1
燄	yim6
佔	jim3
丈	jeung6
骼	gaak3
戉	yut6
驤	seung1
慮	leui6
翡	fei2/fei6
鞋	haai4
嬌	giu1
墉	yung4
絓	gwa3
伏	fuk6/buk6
婁	lau4
頊	guk1/yuk1
颱	toi4
扮	baan6/baan3
锄	cho4
購	gau3
佴	noi6/yi6
克	hak1/hak1
戤	koi3
熙	hei1
蔚	wai3/wat3
儷	lai6
涵	haam4
